待售房屋,室,厅,卫,面积,朝向,楼层,建筑年份,小区名称,区,镇,道路,标签,总价,均价
交通便利 装修好 刚需两居 朝南 满五 临地铁,2室,1厅,1卫,86,南,高层(共26层),2013年建造,淮祥园,北辰,普东街,姚江东路 近汾河道,南 满五年 近地铁 ,95,11047
私产不到顶 采光好 精装修 没有个税 户型方正 可改两室,1室,2厅,1卫,54.46,南北,高层(共6层),1998年建造,美泉新苑,河西,挂甲寺,解放南路415号,南北 满五年 近地铁 ,165,30298
港韵新苑 中间楼层 带电梯 满五   小区新,3室,1厅,1卫,116,南,中层(共11层),2015年建造,港韵新苑,武清,汊沽港镇,富国路,南 满五年 ,85,7328
地铁5号线 南北通透H户型 好楼层 精装修 近市区 低市场价,2室,2厅,1卫,95.09,南北,高层(共18层),2012年建造,美域豪庭,西青,李七庄,昌凌路 近绥江道,南北 满五年 近地铁 ,187,19666
1室 房型正气 房东诚意出售 你懂的快点来吧！！,1室,0厅,0卫,22.65,南北,共3层,1988年建造,河北路小区(和平),和平,小白楼,河北路,南北 满五年 近地铁 ,132,58279
欣然苑 婚房装修 全阳两室 中间楼层 采光充足,2室,2厅,1卫,81,南,低层(共24层),2019年建造,欣然苑,塘沽,北塘街,欣发道 近嘉顺路,南 次新房 ,77,9507
低于市场20万 一楼带卧室 精装修别墅 带地下室 带地下车位,4室,2厅,3卫,175,南北,共3层,2014年建造,中海公园城鸣湖苑,津南,津南八里台,天嘉湖大道,南北 满五年 ,165,9429
老华利里次顶层 采光观景好 双卧客厅朝南 南向面,1室,0厅,1卫,14.82,南,共1层,1998年建造,老华利里,和平,小白楼,营口道,南 满五年 近地铁 ,140,94467
盛世家园(别墅) 密度低 商品住宅 商圈成熟 满二 南北通透,5室,3厅,3卫,231,南北,共3层,2018年建造,盛世家园(别墅),武清,杨村街,振华西道,南北 满二年 绿化率高 ,620,26840
夏洛兹花园 通透3居 钥匙房 满五  无个税 随时可办手续,3室,2厅,1卫,101.96,南北,中层(共13层),2017年建造,津悦华庭,东丽,空港经济区,东七道 近中环东路,南北 满五年 ,190,18635
鸿德里~可做1居~20.00平~南朝向~视野开阔~采光好~,1室,0厅,0卫,20,南,共2层,1985年建造,鸿德里,和平,滨江道,长沙路48号,南 满二年 近地铁 ,156,78000
南华里低楼层阳面看房提前联系,1室,1厅,1卫,40.51,南北,低层(共8层),1996年建造,南华里(河西),河西,下瓦房,闽侯路41号,南北 满五年 近地铁 ,159,39250
哈尔滨道小区 医疗配套成熟 出行方便 南向采光好,1室,0厅,0卫,11.04,南,共3层,1990年建造,哈尔滨道小区,和平,劝业场,哈尔滨道,南 满五年 近地铁 ,125,113225
河西湘江道  二楼全阳  精装修 拎包入住  无遮挡,1室,1厅,1卫,41.16,南,低层(共7层),1993年建造,湘江道小区,河西,挂甲寺,湘江道,南 满二年 近地铁 ,170,41303
带电梯 朝南 大两房 密度低 满五,2室,2厅,1卫,95.18,南,低层(共12层),2008年建造,静湖花园(东区),武清,下朱庄街,清泉路 近嘉宁道,南 房东直卖 满五年 ,70,7355
星河传奇新房 配套齐全 林海路  11中,4室,2厅,2卫,144,南北,中层(共7层),2023年建造,星河传奇东区,宝坻,海滨街,兴海路,南北 唯一住房 车位充足 ,125,8681
（    ）175平170w别墅 豪华70万装修 带地下车位,4室,2厅,2卫,175.36,南北,共3层,2016年建造,中海公园城鸣湖苑,津南,津南八里台,天嘉湖大道,南北 满五年 ,175,9980
急卖 河西一片 恩德里 低楼层 过两年 看房有钥匙,1室,1厅,1卫,36,西,高层(共6层),2018年建造,恩德西里,河西,越秀路,越秀路,西 满五年 近地铁 ,160,44445
景考城区内   杨村一中 三中 天和 电梯商品房 拎包入住,2室,2厅,1卫,94.73,南,高层(共12层),2012年建造,景瑞花园,武清,徐官屯街,杨六路,南 房东直卖 满五年 ,66.5,7020
万科假日风景 洋房中间楼层 南北通透 购物方便 临地铁,3室,2厅,1卫,125.93,南北,中层(共6层),2010年建造,万科假日风景,西青,中北,中北大道 近星光路,南北 满五年 ,186,14771
（保真）河西一P  海道小雪 集体可买 精装修可居住好转手,1室,1厅,1卫,35,南北,中层(共6层),1998年建造,江门里,河西,桃园街,友谊北路,南北 满五年 近地铁 ,172,49143
商业配套成熟 交通便利 南北通透 满五   高楼层视野好,1室,1厅,1卫,43.95,南北,高层(共6层),1989年建造,群富里,南开,万兴街,万德庄大街137号,南北 满五年 近地铁 ,155,35268
荷香园楼层好 大两居 低密度社区 满五   南北通透 临地铁,2室,1厅,1卫,82,南北,中层(共6层),2000年建造,荷香园,塘沽,杭州道街,津塘公路1804号,南北 满五年 近地铁 ,99,12074
河西区天塔街天资里1室1厅,1室,1厅,1卫,39.19,南,低层(共6层),1990年建造,天资里,河西,天塔,环湖东路 近黑牛城道,南 满二年 近地铁 ,115,29345
融科心贻湾 满五 朝南 刚需两居 商业配套成熟,2室,2厅,1卫,92.74,南北,中层(共33层),2012年建造,融科心贻湾,塘沽,工农村街,谐海路2号,南北 满五年 ,93,10029
医疗配套成熟 朝南 近地铁 商圈成熟 得房率高 满五,2室,1厅,1卫,76,南,高层(共26层),2013年建造,嘉畅园,河北,建昌道街,缤纷路604号,南 满五年 近地铁 多人关注 ,110,14474
人车分流 南北通透 税费低 业主诚意出售,5室,2厅,3卫,135.23,南北,低层(共9层),2013年建造,云锦世家(南区),西青,中北,星光路,南北 热门小区 优势户型 房东急售 ,360,26622
新出房源 嘉安园精装两室 房主诚心卖随时看房,2室,2厅,1卫,99,南北,低层(共32层),2012年建造,嘉安园,塘沽,工农村街,河北西路59号,南北 满五年 ,100,10102
西园 H户型 东西通透 实景 可看 价格好谈 诚意卖房,2室,2厅,1卫,92.25,东西,低层(共9层),2007年建造,阳光100国际新城西园,南开,体育中心,外环西路 近红旗南路,东西 满五年 人气热搜 ,188,20380
精装修三室 随时可看 配套齐全,3室,2厅,1卫,95,南北,高层(共27层),2021年建造,万科观澜,塘沽,胡家园街,和角道,南北 满二年 次新房 ,99,10422
和平一劝业场 公产平房 能贷款 集体能用 130全包价,1室,0厅,0卫,30,南北,共1层,1940年建造,赤峰道小区,和平,滨江道,赤峰道,南北 满五年 近地铁 ,130,43334
北科建水岸华府 有电梯 出行方便 近地铁 车位充足 次新房,3室,1厅,1卫,96.94,南北,中层(共17层),2022年建造,北科建水岸华府,北辰,双街镇,创富路,南北 唯一住房 近地铁 车位充足 ,75,7737
     河西一片  着急卖 带装修 拎包入住 过五年,1室,1厅,1卫,37.72,西,高层(共8层),1993年建造,景兴西里,河西,挂甲寺,利民道 近隆昌路,西 近地铁 ,152,40297
河西一片四号路 惠州里阳面无遮挡 私产过五 诚意出售 ！！！,1室,1厅,1卫,38,南,高层(共6层),1998年建造,惠州里,河西,越秀路,前进道,南 满五年 近地铁 ,152,40000
阳光100国际新城西园 近地铁 东南朝向 楼层好 近医院,3室,2厅,1卫,116.28,东南,中层(共22层),2007年建造,阳光100国际新城西园,南开,体育中心,外环西路 近红旗南路,东南 满五年 多人关注 ,208,17888
（保真）河西一P 闽侯路校 正规一室好转手 集体可Luo,1室,1厅,1卫,21.36,东,高层(共6层),2006年建造,福至里,河西,下瓦房,绍兴道43号,东 满五年 近地铁 ,128,59926
孚德里 闽侯路 总价低 可贷款 精装修 租金高,1室,1厅,1卫,27.32,北,高层(共7层),1990年建造,孚德里,河西,大营门,芜湖道,北 近地铁 ,163,59664
12月5号登 和平一片 哈密道 独立厨卫 127万,1室,1厅,1卫,14.98,南北,共1层,1983年建造,山西路小区,和平,劝业场,山西路,南北 近地铁 ,127,84780
12月23号登记  劝业场 直管公产,1室,0厅,0卫,18,南北,共1层,1980年建造,清和南里,和平,劝业场,山西路,南北 近地铁 ,129,71667
曹子里镇 南北通透 大两居 有电梯 中间好楼层 满二  ,2室,2厅,1卫,94,南北,中层(共11层),2012年建造,花都新苑,武清,曹子里镇,杨六路,南北 满二年 ,55.8,5937
金地悦城大境 有电梯 车位充足 满二   临地铁,3室,2厅,2卫,123.12,南北,高层(共10层),2021年建造,金地悦城大境,东丽,空港经济区,航海道 近东七道,南北 满二年 车位充足 ,230,18681
悦公馆 全阳户型  三期毛坯房 有钥匙 随时看房 前排无遮挡,2室,2厅,1卫,91,南,中层(共18层),2018年建造,悦公馆,武清,王庆坨镇,同旺路2号,南 满二年 车位充足 户型方正 ,35,3847
闽侯路3号6楼直管公产房随时可看房,1室,0厅,0卫,23.52,东,高层(共6层),1995年建造,闽侯路小区,河西,下瓦房,闽侯路,东 满二年 近地铁 ,117,49745
天华园 通透户型 好楼层 随时看房 无尾款 房主诚意出售,2室,2厅,1卫,98,南北,高层(共18层),2014年建造,天华园,武清,王庆坨镇,同旺路,南北 满二年 户型方正 ,46,4694
恒大97平 纯新房好楼层 自持物业随时都可以看房,2室,2厅,0卫,97.05,南,高层(共32层),2016年建造,恒大山水城(东区),武清,泗村店镇,碱东路,南 满五年 车位充足 ,50,5152
凤河孔雀城 满五 房龄新 有电梯 大两居 超低密度,2室,2厅,0卫,92,南北,低层(共18层),2014年建造,凤河孔雀城,武清,大王古庄镇,古旺路9号,南北 房东直卖 满五年 ,70,7609
锦庐(西青) 环境优美 小三房 带电梯 南北通透 次新小区,3室,2厅,1卫,97.79,南北,低层(共13层),2021年建造,锦庐(西青),西青,精武,光明路,南北 满五年 近地铁 绿化率高 ,184.9,18908
   海昌天澜 幸福里次新房 刚需入手好房,2室,1厅,1卫,87,南北,中层(共26层),2016年建造,海昌天澜,塘沽,大沽街,安阳道,南北 有电梯 ,99,11380
港福新苑 次新小区 朝南 带电梯 刚需两居 楼层好 满二,2室,2厅,1卫,93,南,中层(共18层),2019年建造,港福新苑,武清,汊沽港镇,祥园道,南 满二年 次新房 ,55,5914
君利新家园 广贤路中 紧邻家乐五店 出门就是君利菜市场！,3室,2厅,1卫,96.11,南北,中层(共7层),2010年建造,君利新家园,武清,下朱庄街,广贤路 近世广道,南北 满二年 ,80,8324
泽天下顺泽园 满五 大两居 中间好楼层 临地铁 精装好房,2室,2厅,1卫,95.61,南北,中层(共26层),2015年建造,泽天下顺泽园,北辰,北仓,祥辰路,南北 满五年 ,200,20919
绅湖公馆 电梯洋房 婚房 地铁房 有钥匙    校 班车接送,3室,2厅,1卫,91,南北,高层(共8层),2017年建造,绅湖公馆,塘沽,滨海高新区,滨海湖路,南北 满五年 多人关注 ,47,5165
金悦府 通透户型 送家具家电 送地下室 前排无遮挡   ,2室,2厅,1卫,97,南北,低层(共18层),2018年建造,顺佳金悦府,武清,王庆坨镇,中心街,南北 满五年 ,70,7217
南向采光好 大两居 满五   有电梯,2室,2厅,0卫,103.88,南,低层(共25层),2011年建造,君利花园,武清,下朱庄街,知行道 近广贤路,南 满五年 ,85,8183
枫丹天城~中间楼层~户型方正~采光好~家具家电,2室,2厅,1卫,80.64,南,低层(共30层),2016年建造,枫丹天城,武清,杨村街,雍阳西道 近翠源路,南 满二年 ,115,14261
河西3片宽福里72平南北通透两室不临街采光好业主急售 配套全,2室,1厅,1卫,74,南北,高层(共6层),1999年建造,宽福里,河西,柳林,艺林路,南北 近地铁 ,128,17298
满五   商品房 近地铁 大两居 南北通透 低密度社区,2室,2厅,1卫,90.5,南北,低层(共6层),2009年建造,治国里,塘沽,杭州道街,中心北路1119号,南北 满五年 近地铁 ,107,11824
医疗配套成熟 商品房 出行方便 楼层好 商圈成熟 满五,2室,2厅,1卫,110.6,南北,中层(共25层),2010年建造,滨海名都,塘沽,杭州道街,幽州路175号,南北 满五年 ,168,15190
出售塘沽区3室2厅中装修南北,3室,2厅,1卫,117.8,南北,高层(共29层),2016年建造,南益名士华庭玫瑰苑,塘沽,新河街,名盛道 近华庭路,南北 满五年 ,159,13498
大寺 楼层好 满五 交通便捷 商业配套齐全 有电梯 刚需两居,2室,1厅,1卫,90.96,南,中层(共11层),2015年建造,远洋万和城,西青,大寺,梨双路,南 房东直卖 满五年 采光较好 ,183,20119
河西三片 东江南里 私产满五   精装修两室南北通透 不临街,2室,1厅,1卫,60.29,南北,高层(共6层),1995年建造,东江南里,河西,柳林,茂名道,南北 满五年 近地铁 ,115,19075
杨村街 出行方便 低密宜居 高楼层采光充足 医疗配套成熟,2室,2厅,1卫,103,南北,高层(共6层),2000年建造,颐安花园(西区),武清,杨村街,泉旺路 近富民道,南北 满五年 ,100,9709
南站现房 香锦园好楼层  中心位置 带基础装修,3室,2厅,2卫,132,南北,中层(共17层),2018年建造,香锦园,西青,张家窝,京福支线,南北 有电梯 近地铁 车位充足 ,162,12273
静湖花园(东区) 居住密度低 中间好楼层 朝南 满五  ,2室,1厅,1卫,102,南,中层(共6层),2008年建造,静湖花园(东区),武清,下朱庄街,清泉路 近嘉宁道,南 满五年 ,59,5785
旅游区精装三室！纯新房！性价比很高 房主诚心卖！,3室,2厅,2卫,118,南北,高层(共10层),2020年建造,滨海红星天铂映园,滨海新区,中新生态城,新平道,南北 满二年 次新房 ,190,16102
凤栖梧桐翠谷园118.0平161万3室2厅1卫,3室,2厅,1卫,118,南北,高层(共18层),2021年建造,凤栖梧桐翠谷园,滨海新区,中新生态城,华三路 近新一街,南北 满二年 次新房 多人关注 ,161,13645
都旺新城兰芳园 临地铁 近医院 朝南 商业配套齐全,2室,1厅,1卫,112.01,南,高层(共11层),2003年建造,都旺新城兰芳园,北辰,果园新村,北辰道 近高峰路,南 ,158,14106
静海镇 产权清晰 次新小区 楼层好 满五 大两居,2室,1厅,1卫,106,南,中层(共26层),2022年建造,星海紫旭府,静海,静海镇,津文线,南 满五年 次新房 ,135,12736
中海公园城滟湖苑 满二 居住密度低 南北通透 小区绿化高,3室,2厅,3卫,135,南北,共1层,2014年建造,中海公园城滟湖苑,津南,津南八里台,天嘉湖大道,南北 满二年 绿化率高 人气热搜 ,150,11112
嘉泰翰林学府 次新房 密度低 南向采光好 双卫生间 停车方便,3室,2厅,2卫,135,南,共3层,2020年建造,嘉泰翰林学府,津南,津南八里台,丰泽道,南 满二年 车位充足 ,140,10371
亨通花园东区(北里) 南北通透 小三居 高楼层视野无遮挡,3室,2厅,1卫,108,南北,高层(共6层),2006年建造,亨通花园东区(北里),武清,杨村街,雍阳西道,南北 满五年 ,103,9538
出行方便 满五   双卫生间 商品住宅 带电梯 医疗配套成熟,2室,2厅,2卫,72.78,西南,低层(共16层),2011年建造,阳光100国际新城北园,南开,体育中心,秀川路 近红旗南路,西南 满五年 近地铁 多人关注 ,162,22259
泽天下心泽园 电梯房 商圈成熟 南北通透 满五   刚需两居,2室,2厅,1卫,107.66,南北,低层(共26层),2015年建造,泽天下心泽园,北辰,北仓,祥辰路,南北 满五年 ,208,19321
海怡园三楼三室两卫 价格可议有钥匙随时看房,3室,1厅,2卫,136,南北,低层(共16层),2022年建造,海怡园,大港,古林街,港东一道,南北 满二年 车位充足 ,158,11618
柴楼新庄园竹园 出行方便 满五   正规商品房 小区新,3室,2厅,1卫,112,南,中层(共30层),2014年建造,柴楼新庄园竹园,北辰,双街镇,顺畅路16号,南 满五年 ,133,11875
翠亨花园 十二中 精装可拎包入住 高楼层视野无遮挡 正南朝向,2室,1厅,1卫,76.18,南,高层(共6层),2005年建造,翠亨花园南里,武清,杨村街,泉达路,南 满五年 ,108,14177
东岸名仕花园 满五 南北通透 低密宜居 正规商品房 商圈成熟,1室,1厅,1卫,79,南北,低层(共18层),2010年建造,东岸名仕花园,开发区,第一大街,海滨高速,南北 满五年 近地铁 ,150,18988
49万好楼层可贷款89平精装3居,3室,2厅,1卫,89.06,南北,中层(共18层),2016年建造,哈兰庄园,武清,泗村店镇,龙凤大道,南北 ,49,5502
国耀上河城 电梯房 南北通透 双卫 精装好房 商业配套齐全,3室,2厅,2卫,133,南北,低层(共30层),2013年建造,国耀上河城,北辰,双街镇,双新大道 近顺境路,南北 房东直卖 满五年 ,170,12782
